stock_code,stock_description,isin_code,issuer,facility_code,instrument_id,issue_date,maturity_date,currency,currency_exchange_rate
VF220379,ALR IMTN TRANCHE 1 11.10.2024,MYBVF2203795,ALR,202200046,IMTN,13/10/2022,11/10/2024,MYR,1
VG220380,ALR IMTN TRANCHE 2 13.10.2025,MYBVG2203801,ALR,202200046,IMTN,13/10/2022,13/10/2025,MYR,1
VH220381,ALR IMTN TRANCHE 3 13.10.2026,MYBVH2203817,ALR,202200046,IMTN,13/10/2022,13/10/2026,MYR,1
VI220382,ALR IMTN TRANCHE 4 13.10.2027,MYBVI2203823,ALR,202200046,IMTN,13/10/2022,13/10/2027,MYR,1
VJ220383,ALR IMTN TRANCHE 5 13.10.2028,MYBVJ2203839,ALR,202200046,IMTN,13/10/2022,13/10/2028,MYR,1
VK220384,ALR IMTN TRANCHE 6 12.10.2029,MYBVK2203845,ALR,202200046,IMTN,13/10/2022,12/10/2029,MYR,1
VL220385,ALR IMTN TRANCHE 7 11.10.2030,MYBVL2203850,ALR,202200046,IMTN,13/10/2022,11/10/2030,MYR,1
VM220386,ALR IMTN TRANCHE 8 13.10.2031,MYBVM2203866,ALR,202200046,IMTN,13/10/2022,13/10/2031,MYR,1
VN220387,ALR IMTN TRANCHE 9 13.10.2032,MYBVN2203872,ALR,202200046,IMTN,13/10/2022,13/10/2032,MYR,1
VO220388,ALR IMTN TRANCHE 10 13.10.2033,MYBVO2203888,ALR,202200046,IMTN,13/10/2022,13/10/2033,MYR,1
VP220389,ALR IMTN TRANCHE 11 13.10.2034,MYBVP2203893,ALR,202200046,IMTN,13/10/2022,13/10/2034,MYR,1
VQ220390,ALR IMTN TRANCHE 12 12.10.2035,MYBVQ2203909,ALR,202200046,IMTN,13/10/2022,12/10/2035,MYR,1
VS220391,ALR IMTN TRANCHE 13 13.10.2037,MYBVS2203913,ALR,202200046,IMTN,13/10/2022,13/10/2037,MYR,1
VI220375,JPB IMTN 5.100% 04.10.2027 (Tranche 1),MYBVI2203757,JPB,202200045,IMTN,04/10/2022,04/10/2027,MYR,1
VK220374,JPB IMTN 5.300% 04.10.2029 (Tranche 2),MYBVK2203746,JPB,202200045,IMTN,04/10/2022,04/10/2029,MYR,1
VN220373,JPB IMTN 5.350% 04.10.2032 (Tranche 3),MYBVN2203732,JPB,202200045,IMTN,04/10/2022,04/10/2032,MYR,1
SC220153,JPB ICP 86D 29.12.2022 (Tranche 1),MYBSC2201537,JPB,202200044,ICP,04/10/2022,29/12/2022,MYR,1
SD220152,JPB ICP 178D 31.03.2023 (Tranche 2),MYBSD2201527,JPB,202200044,ICP,04/10/2022,31/03/2023,MYR,1
VG220351,VS CAPITAL SUKUK WAKALAH 4.280% 22.09.2025 S1T1,MYBVG2203512,VS CAPITAL,202200043,IMTN,21/09/2022,22/09/2025,MYR,1
VI220352,VS CAPITAL SUKUK WAKALAH 4.740% 21.09.2027 S1T2,MYBVI2203526,VS CAPITAL,202200043,IMTN,21/09/2022,21/09/2027,MYR,1
VG220338,EMSB IMTN 3.930% 09.09.2025,MYBVG2203389,EMSB,202200042,IMTN,09/09/2022,09/09/2025,MYR,1
VI220337,EMSB IMTN 4.270% 09.09.2027,MYBVI2203377,EMSB,202200042,IMTN,09/09/2022,09/09/2027,MYR,1
VK220336,EMSB IMTN 4.440% 07.09.2029,MYBVK2203365,EMSB,202200042,IMTN,09/09/2022,07/09/2029,MYR,1
VN220335,EMSB IMTN 4.540% 09.09.2032,MYBVN2203351,EMSB,202200042,IMTN,09/09/2022,09/09/2032,MYR,1
VI220318,FVSB IMTN 26.08.2027 - SUKUK MURABAHAH SERIES 1,MYBVI2203187,FVSB,202200041,IMTN,26/08/2022,26/08/2027,MYR,1
VZ220308,ISLAM PERP SUKUK WAKALAH T1S1 5.160% 22.08.2121,MYBVZ2203082,ISLAM,202200040,IMTN,24/08/2022,22/08/2121,MYR,1
UE220245,HEMSB MTN 15.08.2023 (Tranche 1 Series 1),MYBUE2202453,HEMSB,202200039,MTN,15/08/2022,15/08/2023,MYR,1
UF220244,HEMSB MTN 15.08.2024 (Tranche 1 Series 2),MYBUF2202443,HEMSB,202200039,MTN,15/08/2022,15/08/2024,MYR,1
UG220243,HEMSB MTN 15.08.2025 (Tranche 1 Series 3),MYBUG2202433,HEMSB,202200039,MTN,15/08/2022,15/08/2025,MYR,1
UH220242,HEMSB MTN 14.08.2026 (Tranche 1 Series 4),MYBUH2202423,HEMSB,202200039,MTN,15/08/2022,14/08/2026,MYR,1
UI220241,HEMSB MTN 13.08.2027 (Tranche 1 Series 5),MYBUI2202413,HEMSB,202200039,MTN,15/08/2022,13/08/2027,MYR,1
VF220290,TGJH IMTN 08.08.2024 (Tranche 1 Series 1),MYBVF2202904,TGJH,202200038,IMTN,08/08/2022,08/08/2024,MYR,1
VG220289,TGJH IMTN 08.08.2025 (Tranche 1 Series 2),MYBVG2202894,TGJH,202200038,IMTN,08/08/2022,08/08/2025,MYR,1
VH220288,TGJH IMTN 07.08.2026 (Tranche 1 Series 3),MYBVH2202884,TGJH,202200038,IMTN,08/08/2022,07/08/2026,MYR,1
VI220287,TGJH IMTN 06.08.2027 (Tranche 1 Series 4),MYBVI2202874,TGJH,202200038,IMTN,08/08/2022,06/08/2027,MYR,1
VJ220286,TGJH IMTN 08.08.2028 (Tranche 1 Series 5),MYBVJ2202864,TGJH,202200038,IMTN,08/08/2022,08/08/2028,MYR,1
VK220285,TGJH IMTN 08.08.2029 (Tranche 1 Series 6),MYBVK2202854,TGJH,202200038,IMTN,08/08/2022,08/08/2029,MYR,1
SC220114,PASB ICP 91D 04.11.2022 - Tranche 1 Series 1,MYBSC2201149,PASB,202200037,ICP,05/08/2022,04/11/2022,MYR,1
SC220115,PASB ICP 91D 04.11.2022 - Tranche 1 Series 2,MYBSC2201156,PASB,202200037,ICP,05/08/2022,04/11/2022,MYR,1
VG220262,SPETCHEM IMTN 4.380% 25.07.2025 (Sr1 Tr1),MYBVG2202621,SPETCHEM,202200036,IMTN,27/07/2022,25/07/2025,MYR,1
VH220261,SPETCHEM IMTN 4.710% 27.07.2026 (Sr1 Tr2),MYBVH2202611,SPETCHEM,202200036,IMTN,27/07/2022,27/07/2026,MYR,1
